Name,File,Age,Gender,Race,Language,Words,Seconds,WPS,Readability,F0mean,F0median,YT_WER,FB_WER,MS_WER,GM_WER,WX_WER,ZM_WER,BJ_WER
Dilip Ratha,DilipRatha_2014G,,M,Asian,L2,2139,1023,2.091,6.99,148.38,140.35,0.03357,0.06336,0.0383,0.04444,0.12104,0.07943,0.06194
Dimitar Sasselov,DimitarSasselov_2010G,49,M,White,L2,2767,1107,2.499,6.27,159.29,146.79,0.0365,0.04843,0.03614,0.05349,0.09505,0.06903,0.05638
Donald Sadoway,DonaldSadoway_2012,62,M,White,US,1900,912,2.084,7.51,156.9,145.45,0.04737,0.06579,0.05158,0.28368,0.10053,0.07158,0.07105
Don Norman,DonNorman_2003,68,M,White,US,2239,772,2.899,6.3,180.28,153.85,0.08665,0.11166,0.0996,0.15855,0.16436,0.11657,0.14471
Don Tapscott,DonTapscott_2016T,69,M,White,US,2668,1134,2.353,7.11,163.85,146.79,0.05487,0.0605,0.05562,0.06126,0.1041,0.07591,0.0729
Doris Kearns Goodwin,DorisKearnsGoodwin_2008,65,F,White,US,3746,1122,3.338,6.97,173.04,166.67,0.03364,0.05739,0.0347,0.06807,0.09637,0.04912,0.04912
Drew Berry,DrewBerry_2011X,41,M,White,US,1639,545,3.008,7.15,159.89,141.59,0.0665,0.10311,0.07566,0.14033,0.10433,0.07688,0.07322
Drew Curtis,DrewCurtis_2012,39,M,White,US,1007,398,2.533,7.08,190.64,164.95,0.03078,0.05462,0.04965,0.06256,0.09037,0.06356,0.06356
Dustin Yellin,DustinYellin_2014S,39,M,White,US,1270,456,2.784,6.89,164.66,152.38,0.13307,0.15197,0.15512,0.15906,0.2,0.16693,0.17323
Ed Boyden,EdBoyden_2016T,37,M,White,US,2465,799,3.084,6.58,167.42,136.75,0.05842,0.09939,0.07262,0.08316,0.12982,0.08114,0.10385
Eddie Obeng,EddieObeng_2012G,53,M,Black,Non-US,2393,753,3.178,6.31,256.64,262.3,0.06647,0.09114,0.10117,0.125,0.17684,0.12793,0.15301
Edi Rama,EdiRama_2012X,48,M,White,L2,1683,939,1.791,7.14,219.01,173.91,0.04935,0.05886,0.06837,0.11891,0.18193,0.12485,0.09453
Edward Burtynsky,EdwardBurtynsky_2009G,54,M,White,L2,579,217,2.673,7.63,168.76,148.15,0.04318,0.0639,0.05699,0.05354,0.06736,0.06563,0.05009
Ed Yong,EdYong_2014,33,M,Asian,Non-US,2006,794,2.525,7.95,187.1,170.21,0.04239,0.06035,0.05387,0.06633,0.14663,0.0813,0.08429
